INSTANCE_ID,STATUS,ARN
TuesDay-10-05-2022,Introduction/Installation of Terraform,https://drive.google.com/file/d/1i9piQ_9AhRZO38Dayy5LX606PHSzusv7/view?usp=sharing
ThursDay-12-05-2022,"First Terraform Init, terraform plan, and terraform apply",https://drive.google.com/file/d/1f97bfuoZQsLZmnNntdnG0mdEPdKIjOCI/view
